model,metric,N,Trotter_fit,MPF_fit,QSVT_fit_corrected
TFIM,t_count,42.52510246924868,85017605.98809299,376487743.53090036,1718652826.9273727
TFIM,t_count,43.4594365106685,89947844.40843607,395401682.15500766,1838934147.398696
TFIM,t_count,44.41429913521372,95163991.26620132,415259963.12306076,1967624717.733378
TFIM,t_count,45.39014138363255,100682626.61850153,436109473.2274698,2105311903.2591753
TFIM,t_count,46.38742420664875,106521292.013115,457999415.42459023,2252624059.161035
TFIM,t_count,47.40661868269723,112698546.24609351,480981422.7237386,2410233388.6212196
TFIM,t_count,48.44820624044346,119234024.35279438,505109677.6526891,2578859000.0967026
TFIM,t_count,49.512678886192134,126148500.0198533,530441037.57164294,2759270177.598132
TFIM,t_count,50.60053943629218,133463951.61647479,557035166.1208866,2952289878.7997656
TFIM,t_count,51.712301754648045,141203632.05493024,584954671.1011993,3158798476.841249
TFIM,t_count,52.848490995449545,149392142.70232087,614265249.1006222,3379737762.7855678
TFIM,t_count,54.009643851234536,158055511.57854536,645035837.1964368,3616115226.877974
TFIM,t_count,55.19630880640215,167221276.0890241,677338772.0771084,3869008638.012255
TFIM,t_count,56.40904639629592,176918570.55516526,711249956.945832,4139570942.1618114
TFIM,t_count,57.64842947197929,187178218.82078943,746849036.584711,4429035501.975498
TFIM,t_count,58.9150434708288,198032832.22887444,784219580.977128,4738721701.283735
TFIM,t_count,60.20948669307217,209516913.28004983,823449277.9051243,5070040939.910851
TFIM,t_count,61.53237058440274,221666965.3023294,864630134.9587959,5424503045.9566345
TFIM,t_count,62.88432002480307,234521608.48067755,907858691.4159995,5803723134.599513
TFIM,t_count,64.26597362371439,248121702.61522698,953236240.4728167,6209428944.492946
TFIM,t_count,65.67798402169159,262510476.99833372,1000869062.3286153,6643468684.989333
