model,metric,log10_epsilon,Trotter_fit,MPF_fit,QSVT_fit
TFIM,t_count,-2.5749999999999997,45294583.60842393,8029331854.156585,154812712.6812262
TFIM,t_count,-2.55,44525500.65060553,7925358901.753894,154810753.54707357
TFIM,t_count,-2.525,43768469.63417598,7822299136.176057,154808797.6180593
TFIM,t_count,-2.5,43023303.38774537,7720148373.802313,154806845.12408412
TFIM,t_count,-2.4749999999999996,42289817.54714285,7618902432.45074,154804896.3078882
TFIM,t_count,-2.4499999999999997,41567830.51207108,7518557131.384027,154802951.4258879
TFIM,t_count,-2.425,40857163.40336306,7419108291.31502,154801010.74907318
TFIM,t_count,-2.4,40157640.02082609,7320551734.412611,154799074.56397894
TFIM,t_count,-2.375,39469086.8016654,7222883284.307494,154797143.17372972
TFIM,t_count,-2.3499999999999996,38791332.77947303,7126098766.097881,154795216.89916983
TFIM,t_count,-2.3249999999999997,38124209.543773346,7030194006.355667,154793296.08008173
TFIM,t_count,-2.3,37467551.20011224,6935164833.132103,154791381.07650903
TFIM,t_count,-2.275,36821194.33067862,6841007075.963922,154789472.2701864
TFIM,t_count,-2.25,36184977.955449365,6747716565.879383,154787570.06608793
TFIM,t_count,-2.2249999999999996,35558743.49384271,6655289135.404328,154785674.89411145
TFIM,t_count,-2.1999999999999997,34942334.72687247,6563720618.56835,154783787.21090493
TFIM,t_count,-2.175,34335597.75978791,6473006850.91099,154781907.50185573
TFIM,t_count,-2.15,33738380.98519121,6383143669.487973,154780036.28325248
TFIM,t_count,-2.125,33150535.046618495,6294126912.877598,154778174.10464495
TFIM,t_count,-2.0999999999999996,32571912.8025733,6205952421.186964,154776321.5514194
TFIM,t_count,-2.0749999999999997,32002369.29100145,6118616036.058515,154774479.24760965
TFIM,t_count,-2.05,31441761.69419311,6032113600.676423,154772647.85897446
TFIM,t_count,-2.025,30889949.30410236,5946440959.773242,154770828.09637168
TFIM,t_count,-2.0,30346793.488069486,5861593959.63635,154769020.71945325
TFIM,t_count,-1.9749999999999996,29812157.65493448,5777568448.114679,154767226.54072854
TFIM,t_count,-1.9499999999999997,29285907.22152842,5694360274.625492,154765446.4300352
TFIM,t_count,-1.9249999999999998,28767909.579528764,5611965290.160999,154763681.31946176
TFIM,t_count,-1.9,28258034.06266577,5530379347.295305,154761932.20877904
TFIM,t_count,-1.875,27756151.914265044,5449598300.191278,154760200.17144713
TFIM,t_count,-1.8499999999999996,27262136.255111754,5369618004.607473,154758486.36125937
TFIM,t_count,-1.8249999999999997,26775862.05162234,5290434317.905216,154756792.0197133
