model,metric,log10_epsilon,Trotter_fit,MPF_fit,QSVT_fit_corrected
TFIM,t_count,-1.0999999999999996,3200627.3794752955,34004967.60324763,136449092.04094052
TFIM,t_count,-1.0749999999999997,3140191.303629923,33633208.63093915,136086466.90924853
TFIM,t_count,-1.0499999999999998,3080656.003407003,33263440.627072733,135723531.02698433
TFIM,t_count,-1.025,3022005.5921769314,32895664.158590443,135360247.75519672
TFIM,t_count,-1.0,2964224.3310743696,32529879.795830004,134996573.97029275
Heisenberg,cnot_count,-5.0,1095490.6556104196,2248415.6473563355,37043138.21626799
Heisenberg,cnot_count,-4.975,1080323.9296332635,2244588.675176869,37038833.36774532
Heisenberg,cnot_count,-4.95,1065369.401788917,2240756.869120772,37034526.162361905
Heisenberg,cnot_count,-4.925,1050624.0931897531,2236920.208663585,37030216.6016089
Heisenberg,cnot_count,-4.9,1036085.0669152715,2233078.673132099,37025904.68731335
Heisenberg,cnot_count,-4.875,1021749.4274202387,2229232.2417028677,37021590.421653755
Heisenberg,cnot_count,-4.85,1007614.319951189,2225380.8934006128,37017273.80717197
Heisenberg,cnot_count,-4.825,993676.9299711905,2221524.6070966977,37012954.84678825
Heisenberg,cnot_count,-4.8,979934.4825927399,2217663.3615075215,37008633.54381653
Heisenberg,cnot_count,-4.775,966384.2420186765,2213797.135192893,37004309.90197841
Heisenberg,cnot_count,-4.75,953023.5109910093,2209925.906554435,36999983.925420776
Heisenberg,cnot_count,-4.725,939849.6302475493,2206049.653833898,36995655.61873184
Heisenberg,cnot_count,-4.7,926859.9779862035,2202168.355111506,36991324.986958005
Heisenberg,cnot_count,-4.675,914051.96933687,2198281.9883042355,36986992.03562298
Heisenberg,cnot_count,-4.65,901423.0558408091,2194390.5311641195,36982656.770745665
Heisenberg,cnot_count,-4.625,888970.7249373463,2190493.961276477,36978319.19885984
Heisenberg,cnot_count,-4.6,876692.49945788,2186592.2560581607,36973979.32703431
